intent,question,answer,source
admission,How can I apply for admission?;Where do I submit my admission form?;What is the admission process?;How to check admission requirements?;Where can I find eligibility details?;What documents are needed for admission?;How do I register for new admission?;Is admission online or offline?,You can apply for admission online through the official portal. Eligibility criteria and required documents are listed on the admissions page.,
fees,What is the fee structure?;Where can I check the semester fees?;How do I pay my fees?;Is online fee payment available?;What are the payment options?;Where can I find fee details?;Is there any late fee policy?;How much is the admission fee?,You can check the complete fee structure and payment options on the Finance section of the website.,
scholarship,How can I apply for a scholarship?;What scholarships are available?;Where to check scholarship eligibility?;Is there a merit scholarship?;Do we have any need-based scholarships?;How to access scholarship portal?;Which documents are required for scholarships?;When does scholarship registration start?,Scholarships are available based on merit and need. You can apply through the scholarship portal.,
hostel,How to apply for hostel?;Are hostels available for students?;What are the hostel rules?;How are hostel rooms allotted?;Where can I check mess timings?;Is hostel available for first-years?;What facilities are provided in the hostel?;How much is the hostel fee?,Hostel rooms are allotted during admission. Mess timings and hostel rules are provided in the student handbook.,
transport,Is transport available?;What are the college bus timings?;Where can I check bus routes?;How to apply for bus pass?;Is there transportation from my area?;What is the bus fee?;Where to find transport schedule?;What to do for lost bus pass?,"Bus routes, timings, and pass details are updated on the student portal.",
courses,What courses are available in the college?;Where can I check UG programs?;Where can I check PG programs?;What is the duration of courses?;Where to find syllabus details?;Does the college offer engineering courses?;How to know course eligibility?;Are new courses added this year?,All UG and PG programs are listed in the Academics section with duration and syllabus.,
exams,When are the exams?;Where to view exam timetable?;How to download hall ticket?;What is the re-exam process?;When will results be released?;How to apply for revaluation?;Where can I find exam notifications?;Is there a separate portal for exams?,"Exam timetables, hall tickets, re-exam details, and results are posted on the portal.",
attendance,What is the attendance rule?;How much attendance is required?;Is 75% attendance compulsory?;What if my attendance is low?;Is condonation available?;How is attendance calculated?;Where can I check my attendance?;Are medical reasons accepted?,Minimum 75% attendance is required. Condonation is applicable for valid reasons.,
placement,How are placements in this college?;When does placement training start?;Which companies come for placement?;Where can I check placement schedule?;What is the placement record?;How to register for placements?;Does the college give placement training?;Who handles campus placements?,The placement cell provides training and conducts company drives. Schedules are available on the portal.,
library,What are the library timings?;How many books can I borrow?;Where is the library located?;Is library open on weekends?;How to issue books?;Do we have digital library access?;What are the library rules?;Can I renew my books online?,Library is open from 8 AM to 8 PM. Students can borrow books using their ID card.,
department,Where can I find department details?;How to contact my department?;Who is the head of the department?;Where is the department office?;How many faculty are in the department?;Where to check course syllabus?;What research facilities are available?;How to meet faculty members?,Department contacts and details are available under the Academics section.,
general,Tell me about the college facilities;What services does the campus have?;Is Wi-Fi available in the campus?;What labs are available?;Does the campus have medical facilities?;Are sports facilities available?;What amenities do students get?;Does the college have a helpdesk?,"The campus provides Wi-Fi, labs, sports, medical facility, and student services.",
rules,What are the college rules?;Do we have a dress code?;Is ID card compulsory?;Are phones allowed in campus?;What are the disciplinary rules?;Where can I check campus guidelines?;Is ragging strictly banned?;What behavior is expected from students?,Students must follow dress code and carry ID cards at all times.,
holidays,When is the next holiday?;Where can I find holiday list?;Is tomorrow a holiday?;Where to check academic calendar?;Are festival holidays given?;Is Saturday holiday?;Do we have semester break?;When does college reopen?,The holiday list and academic calendar are available in PDF on the portal.,
timings,What are the college timings?;When do classes start?;When do classes end?;Is there a lunch break?;What is the office working time?;What time does campus open?;What time does campus close?;Do departments have separate timings?,Classes generally run from 9 AM to 4:30 PM depending on timetable.,
contact,How can I contact the college?;What is the helpdesk number?;Where can I find contact information?;How to email support team?;Is there a student support number?;How to contact administration?;How to reach IT support?;Where is the contact page?,You can contact support via the official helpdesk phone number and email.,
technical,I can't log in;Portal is not working;How to reset my password?;My account is locked;Website isn't opening;I'm getting a technical error;How to report a portal issue?;Who handles technical problems?,"For portal issues, raise a ticket with IT support through the helpdesk portal.",
ragging,How to report ragging?;Is ragging allowed?;What to do if someone bullies me?;Is there an anti-ragging team?;Can I complain anonymously?;Where to find anti-ragging rules?;Whom to contact for harassment issues?;Is ragging punished strictly?,Strict anti-ragging policies are followed. You can report anonymously using the official helpline.,
mess,Where can I check mess menu?;What is today's mess food?;How to complain about mess food?;Who is the mess supervisor?;What are mess timings?;Is veg and non-veg available?;How much is mess fee?;Where to report mess issues?,Mess menu updates weekly. Complaints can be submitted to the mess supervisor.,
sports,What sports facilities are available?;Is there a gym in campus?;When are sports events held?;How to join sports teams?;Where can I find sports schedule?;Do we have indoor games?;Who is the sports coordinator?;What are sports timings?,Sports facilities include indoor/outdoor courts and gym. Schedules are posted on the notice board.,
events,What events are happening?;When is the next fest?;Are workshops conducted?;Where can I find event details?;Is there any seminar today?;Do departments conduct events?;How to participate in events?;Where are event updates posted?,"Events, fests, and workshops are updated regularly in the Events section of the website.",
